classifier, features, seed, trial_num, fold_num, TP, TN, FP, FN, TP_rate, FP_rate, num_mis, total_test
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000002, 4, 3, 3708, 51956, 1468, 38, 0.9898558462359851, 0.027478286912249177, 1506, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000002, 4, 4, 3702, 51928, 1496, 44, 0.98825413774693, 0.028002395926924228, 1540, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000002, 4, 5, 3710, 51991, 1433, 36, 0.99038974906567, 0.02682315064390536, 1469, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000002, 4, 6, 3719, 51940, 1484, 27, 0.9927923117992525, 0.027777777777777776, 1511, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000002, 4, 7, 3702, 51953, 1471, 44, 0.98825413774693, 0.02753444144953579, 1515, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000002, 4, 8, 3710, 51941, 1483, 36, 0.99038974906567, 0.027759059598682242, 1519, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000002, 4, 9, 3715, 51944, 1479, 31, 0.9917245061398825, 0.027684705089568162, 1510, 57169
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000002, 4, 10, 3711, 51953, 1470, 35, 0.9906567004805126, 0.02751623832431724, 1505, 57169
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 1, 3716, 51919, 1505, 30, 0.9919914575547251, 0.028170859538784065, 1535, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 2, 3718, 51921, 1503, 28, 0.9925253603844101, 0.028133423180592993, 1531, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 3, 3697, 51990, 1434, 49, 0.9869193806727176, 0.026841868823000898, 1483, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 4, 3700, 51937, 1487, 46, 0.987720234917245, 0.02783393231506439, 1533, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 5, 3712, 51956, 1468, 34, 0.990923651895355, 0.027478286912249177, 1502, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 6, 3710, 51973, 1451, 36, 0.99038974906567, 0.02716007786762504, 1487, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 7, 3706, 52202, 1222, 40, 0.9893219434063001, 0.02287361485474693, 1262, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 8, 3714, 52016, 1408, 32, 0.99145755472504, 0.026355196166516923, 1440, 57170
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 9, 3709, 51889, 1534, 37, 0.9901227976508276, 0.028714224210546018, 1571, 57169
Naive Bayes, ["log(totalSourceBytes)"; "flowDuration"], 100000003, 5, 10, 3707, 52003, 1420, 39, 0.9895888948211425, 0.02658031185070101, 1459, 57169
